nuts2_id,country,scenario,cf
LU00,Luxembourg,Baseline,1313.62
LU00,Luxembourg,Baseline,261.31
LU00,Luxembourg,Baseline,392.86
LU00,Luxembourg,Baseline,346.19
LU00,Luxembourg,Baseline,499.08
LU00,Luxembourg,RCP2.6,1645.33
LU00,Luxembourg,RCP2.6,367.05
LU00,Luxembourg,RCP2.6,517.83
LU00,Luxembourg,RCP2.6,431.4
LU00,Luxembourg,RCP2.6,679.1
LU00,Luxembourg,RCP4.5,1464.94
LU00,Luxembourg,RCP4.5,285.12
LU00,Luxembourg,RCP4.5,402.35
LU00,Luxembourg,RCP4.5,333.57
LU00,Luxembourg,RCP4.5,513.79
LU00,Luxembourg,RCP8.5,1539.26
LU00,Luxembourg,RCP8.5,337.16
LU00,Luxembourg,RCP8.5,475.48
LU00,Luxembourg,RCP8.5,395.97
LU00,Luxembourg,RCP8.5,623.63
CZ06,Czechia,Baseline,838.26
CZ06,Czechia,Baseline,782.19
CZ06,Czechia,Baseline,574.34
CZ06,Czechia,Baseline,640.58
CZ06,Czechia,Baseline,592.7
CZ06,Czechia,Baseline,498.14
CZ06,Czechia,Baseline,818.3
CZ06,Czechia,Baseline,487.05
CZ06,Czechia,Baseline,767.53
CZ06,Czechia,Baseline,819.48
CZ06,Czechia,Baseline,819.68
CZ06,Czechia,Baseline,570.99
CZ06,Czechia,Baseline,611.88
CZ06,Czechia,Baseline,424.91
CZ06,Czechia,Baseline,546.21
CZ06,Czechia,Baseline,490.08
CZ06,Czechia,Baseline,1580.8
CZ06,Czechia,Baseline,1410.31
CZ06,Czechia,Baseline,362.59
CZ06,Czechia,Baseline,460.07
CZ06,Czechia,Baseline,1787.87
CZ06,Czechia,Baseline,393.97
CZ06,Czechia,Baseline,430.99
CZ06,Czechia,Baseline,870.15
CZ06,Czechia,Baseline,1128.46
CZ06,Czechia,Baseline,679.54
CZ06,Czechia,Baseline,368.68
CZ06,Czechia,Baseline,3314.07
CZ06,Czechia,Baseline,1829.11
CZ06,Czechia,Baseline,366.1
CZ06,Czechia,Baseline,471.1
CZ06,Czechia,Baseline,613.54
CZ06,Czechia,Baseline,452.32
CZ06,Czechia,Baseline,890.74
CZ06,Czechia,Baseline,574.23
CZ06,Czechia,Baseline,672.52
CZ06,Czechia,Baseline,291.74
CZ06,Czechia,Baseline,1248.68
CZ06,Czechia,Baseline,535.86
CZ06,Czechia,Baseline,520.6
CZ06,Czechia,Baseline,579.59
CZ06,Czechia,Baseline,1121.01
CZ06,Czechia,Baseline,2269.26
CZ06,Czechia,Baseline,405.57
CZ07,Czechia,Baseline,1985.22
CZ07,Czechia,Baseline,509.01
CZ07,Czechia,Baseline,750.72
CZ07,Czechia,Baseline,1489.11
CZ07,Czechia,Baseline,442.68
CZ07,Czechia,Baseline,837.01
CZ02,Czechia,Baseline,859.39
CZ06,Czechia,RCP2.6,1250.79
CZ06,Czechia,RCP2.6,1163.05
CZ06,Czechia,RCP2.6,503.37
CZ06,Czechia,RCP2.6,660.49
CZ06,Czechia,RCP2.6,887.07
CZ06,Czechia,RCP2.6,818.31
CZ06,Czechia,RCP2.6,1220.44
CZ06,Czechia,RCP2.6,749.07
CZ06,Czechia,RCP2.6,1054.2
CZ06,Czechia,RCP2.6,951.04
CZ06,Czechia,RCP2.6,951.27
CZ06,Czechia,RCP2.6,606.96
CZ06,Czechia,RCP2.6,861.66
CZ06,Czechia,RCP2.6,832.57
CZ06,Czechia,RCP2.6,852.71
CZ06,Czechia,RCP2.6,738.15
CZ06,Czechia,RCP2.6,2188.15
CZ06,Czechia,RCP2.6,1717.22
CZ06,Czechia,RCP2.6,738.11
CZ06,Czechia,RCP2.6,654.22
CZ06,Czechia,RCP2.6,2440.83
CZ06,Czechia,RCP2.6,580.22
CZ06,Czechia,RCP2.6,674.11
CZ06,Czechia,RCP2.6,1379.26
CZ06,Czechia,RCP2.6,2354.16
CZ06,Czechia,RCP2.6,967.25
CZ06,Czechia,RCP2.6,493.8
CZ06,Czechia,RCP2.6,4235.05
CZ06,Czechia,RCP2.6,3475.68
CZ06,Czechia,RCP2.6,563.42
CZ06,Czechia,RCP2.6,588.58
CZ06,Czechia,RCP2.6,716.24
CZ06,Czechia,RCP2.6,815.65
CZ06,Czechia,RCP2.6,987.28
CZ06,Czechia,RCP2.6,821.91
CZ06,Czechia,RCP2.6,1397.48
CZ06,Czechia,RCP2.6,434.27
CZ06,Czechia,RCP2.6,1991.21
CZ06,Czechia,RCP2.6,656.74
CZ06,Czechia,RCP2.6,1108.01
CZ06,Czechia,RCP2.6,673.55
CZ06,Czechia,RCP2.6,1550.33
CZ06,Czechia,RCP2.6,3860.31
CZ06,Czechia,RCP2.6,516.53
CZ07,Czechia,RCP2.6,2444.64
CZ07,Czechia,RCP2.6,1023.98
CZ07,Czechia,RCP2.6,1052.43
CZ07,Czechia,RCP2.6,1772.91
CZ07,Czechia,RCP2.6,700.88
CZ07,Czechia,RCP2.6,1278.05
CZ02,Czechia,RCP2.6,578.86
CZ06,Czechia,RCP4.5,1119.21
CZ06,Czechia,RCP4.5,1013.15
CZ06,Czechia,RCP4.5,565.3
CZ06,Czechia,RCP4.5,792.98
CZ06,Czechia,RCP4.5,797.79
CZ06,Czechia,RCP4.5,731.71
CZ06,Czechia,RCP4.5,1092.26
CZ06,Czechia,RCP4.5,922.4
CZ06,Czechia,RCP4.5,1022.22
