country,vine_surface_fract,area_fract,tot_area_km2,log_10_radius
Luxembourg,Modelled,50.7,14.82,0.34
Luxembourg,Non-modelled,49.3,14.82,0.34
Czechia,Modelled,38.4,119.78,0.79
Czechia,Non-modelled,61.6,119.78,0.79
Slovenia,Modelled,55,157.16,0.85
Slovenia,Non-modelled,45,157.16,0.85
Slovakia,Modelled,47.8,253.39,0.95
Slovakia,Non-modelled,52.2,253.39,0.95
Austria,Modelled,47.2,701.42,1.17
Austria,Non-modelled,52.8,701.42,1.17
Greece,Modelled,10,855.24,1.22
Greece,Non-modelled,90,855.24,1.22
Germany,Modelled,33.2,1291.39,1.31
Germany,Non-modelled,66.8,1291.39,1.31
Hungary,Modelled,19,1404.1,1.33
Hungary,Non-modelled,81,1404.1,1.33
Bulgaria,Modelled,36.4,1470.95,1.34
Bulgaria,Non-modelled,63.6,1470.95,1.34
Portugal,Modelled,86.3,2328.46,1.43
Portugal,Non-modelled,13.700000000000003,2328.46,1.43
Romania,Modelled,63.7,4094.1,1.56
Romania,Non-modelled,36.3,4094.1,1.56
Italy,Modelled,12.6,5356.83,1.62
Italy,Non-modelled,87.4,5356.83,1.62
Spain,Modelled,8.6,8267.56,1.71
Spain,Non-modelled,91.4,8267.56,1.71
France,Modelled,30.6,12274.58,1.8
France,Non-modelled,69.4,12274.58,1.8
