nuts2,dominant_fct
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
ES70,NA
MT00,NA
MT00,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,(+) BF
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,(-) FF
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
EL43,NA
