country,scenario,rel_delta_cf
Germany,RCP2.6,0.103
Germany,RCP4.5,0.164
Germany,RCP8.5,0.056
Austria,RCP2.6,0.06
Austria,RCP4.5,0.102
Austria,RCP8.5,-0.038
Portugal,RCP2.6,-0.025
Portugal,RCP4.5,0.33
Portugal,RCP8.5,0.254
Slovenia,RCP2.6,0.467
Slovenia,RCP4.5,0.329
Slovenia,RCP8.5,0.429
Romania,RCP2.6,0.138
Romania,RCP4.5,0.163
Romania,RCP8.5,0.123
Hungary,RCP2.6,0.194
Hungary,RCP4.5,0.13
Hungary,RCP8.5,0.059
Bulgaria,RCP2.6,0.047
Bulgaria,RCP4.5,0.114
Bulgaria,RCP8.5,0.093
Slovakia,RCP2.6,0.406
Slovakia,RCP4.5,0.328
Slovakia,RCP8.5,0.261
France,RCP2.6,0.223
France,RCP4.5,0.212
France,RCP8.5,0.14
Spain,RCP2.6,0.112
Spain,RCP4.5,0.179
Spain,RCP8.5,0.114
Luxembourg,RCP2.6,0.263
Luxembourg,RCP4.5,0.102
Luxembourg,RCP8.5,0.178
Czechia,RCP2.6,0.415
Czechia,RCP4.5,0.379
Czechia,RCP8.5,0.3
Greece,RCP2.6,0.049
Greece,RCP4.5,0.118
Greece,RCP8.5,0.151
Italy,RCP2.6,0.269
Italy,RCP4.5,0.303
Italy,RCP8.5,0.127
